,Name,Pret,Image
0,"Lavoar dreptunghiular, alb, 60.4 cm, montare pe blat • GoodHome Nira",42000lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933106_01.jpg?optimize=high&fit=bounds&height=300&width=240
1,"Lavoar dreptunghiular, alb, 80.4 cm, montare pe blat • GoodHome Nira",52500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933137_01.jpg?optimize=high&fit=bounds&height=300&width=240
2,"Lavoar dreptunghiular, alb, 80.4 cm, montare pe blat • GoodHome Lana",56900lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933151_01.jpg?optimize=high&fit=bounds&height=300&width=240
3,"Lavoar dreptunghiular, alb, 60 cm, montare pe blat • GoodHome Lana",47500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933120_01.jpg?optimize=high&fit=bounds&height=300&width=240
4,"Lavoar dreptunghiular, alb, 61.4 cm, montare pe blat • GoodHome Mila",52500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933113_1.jpg?optimize=high&fit=bounds&height=300&width=240
5,"Lavoar dreptunghiular, alb, 80.4 cm, montare pe blat • GoodHome Mila",62000lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933144_1.jpg?optimize=high&fit=bounds&height=300&width=240
6,"Lavoar dreptunghiular, alb, 100.4 cm, montare pe blat • GoodHome Nira",86500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933168_01.jpg?optimize=high&fit=bounds&height=300&width=240
7,"Lavoar dreptunghiular, alb, 120.4 cm, montare pe blat • GoodHome Lana","1,05000lei",https://www.bricodepot.ro/media/catalog/product/3/6/3663602933212_01.jpg?optimize=high&fit=bounds&height=300&width=240
8,"Lavoar dreptunghiular, alb, 100.4 cm, montare pe blat • GoodHome Mila",75000lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933175_1.jpg?optimize=high&fit=bounds&height=300&width=240
9,"Baza suspendata, alb, 100 x 60 x 45 cm • GoodHome Imandra",89900lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602932864_1.jpg?optimize=high&fit=bounds&height=300&width=240
10,"Lavoar dreptunghiular, alb, 120.4 cm, montare pe blat • GoodHome Nira","1,04000lei",https://www.bricodepot.ro/media/catalog/product/3/6/3663602933199_01.jpg?optimize=high&fit=bounds&height=300&width=240
11,"Baza lavoar cu picioare, alb, 60 x 82 x 45 cm • GoodHome Imandra",76900lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602932949_1.jpg?optimize=high&fit=bounds&height=300&width=240
12,"Lavoar dreptunghiular, alb, 120.4 cm, montare pe blat • GoodHome Mila",99500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933205_1.jpg?optimize=high&fit=bounds&height=300&width=240
13,"Baza dulap suspendat, alb, 120 x 60 x 45 cm • GoodHome Imandra","1,09900lei",https://www.bricodepot.ro/media/catalog/product/3/6/3663602932901_1.jpg?optimize=high&fit=bounds&height=300&width=240
14,"Dulap baie suspendat, alb, 90 x 60 x 15 cm • GoodHome Imandra",38900lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933274_1.jpg?optimize=high&fit=bounds&height=300&width=240
15,"Baza lavoar cu picioare, alb, 80 x 82 x 45 cm • GoodHome Imandra",88500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602932987_1.jpg?optimize=high&fit=bounds&height=300&width=240
16,"Baza dulap suspendat, alb, 43.6 x 55 x 23 cm • GoodHome Imandra",22500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933021_1.jpg?optimize=high&fit=bounds&height=300&width=240
17,"Baza dulap suspendat, gri, 43.6 x 79 x 23 cm • GoodHome Imandra",22500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933076_1.jpg?optimize=high&fit=bounds&height=300&width=240
18,"Baza suspendata, gri, 43.6 x 55 x 23 cm - Imandra",22500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933038_1.jpg?optimize=high&fit=bounds&height=300&width=240
19,"Baza lavoar cu picioare, gri, 80 x 82 x 45 cm • GoodHome Imandra",88500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602932994_1.jpg?optimize=high&fit=bounds&height=300&width=240
20,"Dulap baie suspendat, alb, 90 x 40 x 15 cm • GoodHome Imandra",32500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933267_1.jpg?optimize=high&fit=bounds&height=300&width=240
21,"Baza dulap suspendat, alb, 43.6 x 79 x 23 cm • GoodHome Imandra",22500lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933069_1.jpg?optimize=high&fit=bounds&height=300&width=240
22,"Baza dulap suspendat, maro, 43.6 x 55 x 23 cm • GoodHome Imandra",9800lei,https://www.bricodepot.ro/media/catalog/product/3/6/3663602933045-baza-lavoar-suspendata-maro-436-cm-garantie-10-ani-goodhome-imandra-6619.jpg?optimize=high&fit=bounds&height=300&width=240
