,Name,Pret,Currency,Nr of reviews,Image
0,"Masa bucatarie fixa Texas, dreptunghiulara, 4 persoane, nuc, 105 x 68 x 75 cm, 1C",210.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/t/e/texas-masa-nuc.jpg
1,"Masa bucatarie extensibila Serena, dreptunghiulara, 6 persoane, stejar albit, 118 / 157 x 68 x 76 cm, 1C",369.00 lei/bucata,lei/bucata,['7'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/i/m/img_1758-1.jpg
2,"Masa bucatarie extensibila Serena, dreptunghiulara, 6 persoane, stejar bardolino, 118 / 157 x 68 x 76 cm, 1C",369.00 lei/bucata,lei/bucata,['2'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8046431-1.jpg
3,"Bucatarie Hana, magia + stejar bardolino, 200 cm, 4C",1278.99 lei/bucata,lei/bucata,['13'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/h/a/hana.jpg
4,"Bucatarie Hana, stejar bardolino + crem mat, 200 cm, 4C",1278.99 lei/bucata,lei/bucata,['3'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/b/u/bucatarie-hana_1.jpg
5,"Bucatarie Lorena, sonoma dark + sonoma, 200.5 cm, 4C",1598.99 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8077529_0_.jpg
6,"Bucatarie Flora, stejar nordic + sonoma dark, 260 cm, 8C",1898.99 lei/bucata,lei/bucata,['6'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8055666.jpg
7,"Bucatarie Flora, stejar nordic + cappuccino, 260 cm, 8C",1898.99 lei/bucata,lei/bucata,['3'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/b/u/buc._flora_-_stejar_nordic_cappuccino_-_fundal_transparent.jpg
8,"Bucatarie Claudia, alb mat + negru + folie lucioasa alba + folie mata neagra, cu lumini, 200 cm, 6C",2368.99 lei/bucata,lei/bucata,['7'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8060563.jpg
9,"Masa bucatarie fixa Pandora, dreptunghiulara, 4 persoane, nuc, 110 x 70 x 74 cm, 1C",149.00 lei/bucata, lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8059885-0.jpg
10,"Masa bucatarie fixa Pandora, dreptunghiulara, 4 persoane, alba, 110 x 70 x 74 cm, 1C",149.00 lei/bucata, lei/bucata,['6'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8059884-0.jpg
11,"Masa bucatarie fixa Alfa, dreptunghiulara, 4 persoane, stejar bardolino, 100 x 60 x 72.7 cm, 1C",169.00 lei/bucata, lei/bucata,['6'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8038501-1.jpg
12,"Masa bucatarie fixa Cleo 2, dreptunghiulara, 4 persoane, sonoma inchis, 118 x 68 x 76 cm, 1C",169.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8071668.jpg
13,"Masa bucatarie fixa Cleo 2, dreptunghiulara, 4 persoane, stejar bardolino, 118 x 68 x 76 cm, 1C",169.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/c/l/cleo2-masa.jpg
14,"Masa bucatarie fixa Kirra, dreptunghiulara, 2 persoane, stejar bardolino, 69 x 68 x 74 cm, 2C",199.00 lei/bucata,lei/bucata,['1'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8054925-1.jpg
15,"Masa bucatarie fixa Felix, dreptunghiulara, 4 persoane, stejar bardolino, 100 x 64 x 76 cm, 2C",199.00 lei/bucata, lei/bucata,['7'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/m/a/masa_felix_bardolino_1.jpg
16,"Masa bucatarie fixa Kirra, dreptunghiulara, 2 persoane, sonoma dark, 69 x 68 x 74 cm, 2C",199.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8054924-1.jpg
17,"Masa bucatarie fixa Texas, dreptunghiulara, 4 persoane, bardolino, 105 x 68 x 75 cm, 1C",210.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/t/e/texas-masa-bardolino.jpg
18,"Masa bucatarie fixa Texas, dreptunghiulara, 4 persoane, alba, 105 x 68 x 75 cm, 1C",210.00 lei/bucata,lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/t/e/texas-masa-alb.jpg
19,"Masa bucatarie fixa Carina, dreptunghiulara, 4 persoane, magia, 120 x 72 x 76 cm, 2C",249.00 lei/bucata, lei/bucata,['4'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8031009.jpg
20,"Masa bucatarie fixa Carina, dreptunghiulara, 4 persoane, stejar bardolino, 120 x 72 x 76 cm, 2C",249.00 lei/bucata, lei/bucata,['2'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8031008.jpg
21,"Masa bucatarie extensibila Saxonia, dreptunghiulara, 4 persoane, stejar bardolino, 105 / 165 x 68 x 77.5 cm, 1C",329.00 lei/bucata, lei/bucata,['2'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8063497_saxonia-masa-extinsa-bardolino.jpg
